timestamp,camera_front
1645481333.788636923,0
1645481333.814722061,1
1645481333.848696947,2
1645481333.882541895,3
1645481333.915349960,4
1645481333.949112892,5
1645481333.981890917,6
1645481334.015877008,7
1645481334.048630953,8
1645481334.082446098,9
1645481334.115334988,10
1645481334.149210930,11
1645481334.181934118,12
1645481334.215850115,13
1645481334.248451948,14
1645481334.282356024,15
1645481334.315237999,16
1645481334.349088907,17
1645481334.381870031,18
1645481334.415767908,19
1645481334.448455095,20
1645481334.482435942,21
1645481334.515271902,22
1645481334.549143076,23
1645481334.581887960,24
1645481334.615856886,25
1645481334.648694038,26
1645481334.682383060,27
1645481334.715544939,28
1645481334.749176979,29
1645481334.781919003,30
1645481334.815993071,31
1645481334.848664999,32
1645481334.882404089,33
1645481334.915363073,34
1645481334.949229002,35
1645481334.981898069,36
1645481335.016051054,37
1645481335.048645020,38
1645481335.082354069,39
1645481335.115216970,40
1645481335.149254084,41
1645481335.181818962,42
1645481335.215739012,43
1645481335.248503923,44
1645481335.282361031,45
1645481335.315105915,46
1645481335.349113941,47
1645481335.381828070,48
1645481335.415752888,49
1645481335.448617935,50
1645481335.482480049,51
1645481335.515136957,52
1645481335.549030066,53
1645481335.581866026,54
1645481335.615787029,55
1645481335.648574114,56
1645481335.682549953,57
1645481335.715207100,58
1645481335.749061108,59
1645481335.781872988,60
1645481335.815761089,61
1645481335.848556995,62
1645481335.882461071,63
1645481335.915179014,64
1645481335.949060917,65
1645481335.981817961,66
1645481336.015944004,67
1645481336.048458099,68
1645481336.082557917,69
1645481336.115293980,70
1645481336.149117947,71
1645481336.181888103,72
1645481336.215843916,73
1645481336.248577118,74
1645481336.282486916,75
1645481336.315265894,76
1645481336.349067926,77
1645481336.381755114,78
1645481336.415819883,79
1645481336.448559046,80
1645481336.482321978,81
1645481336.515187979,82
1645481336.549113035,83
1645481336.581818104,84
1645481336.615771055,85
1645481336.648597956,86
1645481336.682414055,87
1645481336.715223074,88
1645481336.749063969,89
1645481336.781774998,90
1645481336.816133976,91
1645481336.848516941,92
1645481336.882425070,93
1645481336.915141106,94
1645481336.949054003,95
1645481336.981795073,96
1645481337.015774012,97
1645481337.048489094,98
1645481337.082431078,99
1645481337.115262032,100
1645481337.149086952,101
1645481337.181875944,102
1645481337.215873003,103
1645481337.248600006,104
1645481337.282341003,105
1645481337.315213919,106
1645481337.349082947,107
1645481337.381851912,108
1645481337.415963888,109
1645481337.448584080,110
1645481337.482393980,111
1645481337.515306950,112
1645481337.549156904,113
1645481337.581861019,114
1645481337.615802050,115
1645481337.648603916,116
1645481337.682482958,117
1645481337.715264082,118
1645481337.749217033,119
1645481337.782035112,120
1645481337.815783978,121
1645481337.848639965,122
1645481337.882570028,123
1645481337.915311098,124
1645481337.949254990,125
1645481337.982007980,126
1645481338.015870094,127
1645481338.048727036,128
1645481338.082549095,129
1645481338.115343094,130
1645481338.149235964,131
1645481338.182014942,132
1645481338.216128111,133
1645481338.248670101,134
1645481338.282506943,135
1645481338.315376043,136
1645481338.349235058,137
1645481338.381913900,138
1645481338.415978909,139
1645481338.448688984,140
1645481338.482538939,141
1645481338.515430927,142
1645481338.549243927,143
1645481338.581970930,144
1645481338.615900993,145
1645481338.648789883,146
1645481338.682670116,147
1645481338.715490103,148
1645481338.749407053,149
1645481338.782010078,150
1645481338.816248894,151
1645481338.848773003,152
1645481338.882524967,153
1645481338.915452957,154
1645481338.949258089,155
1645481338.982062101,156
1645481339.015923023,157
1645481339.048710108,158
1645481339.082566023,159
1645481339.115402937,160
1645481339.149379015,161
1645481339.182059050,162
1645481339.216033936,163
1645481339.248874903,164
1645481339.282732010,165
1645481339.315601110,166
1645481339.349488974,167
1645481339.382389069,168
1645481339.416191101,169
1645481339.449057102,170
1645481339.483007908,171
1645481339.515726089,172
1645481339.549580097,173
1645481339.582349062,174
1645481339.616231918,175
1645481339.649188042,176
1645481339.683000088,177
1645481339.715693951,178
1645481339.749618053,179
1645481339.782430887,180
1645481339.816296101,181
1645481339.849126101,182
1645481339.882978916,183
1645481339.915805101,184
1645481339.949687004,185
1645481339.982461929,186
1645481340.016293049,187
1645481340.049266100,188
1645481340.082979918,189
1645481340.115801096,190
1645481340.149794102,191
1645481340.182703018,192
1645481340.216418982,193
1645481340.249181032,194
1645481340.283169031,195
1645481340.315980911,196
1645481340.349888086,197
1645481340.382504940,198
1645481340.416353941,199
1645481340.449254036,200
1645481340.482974052,201
1645481340.515748978,202
1645481340.549700975,203
1645481340.582385063,204
1645481340.616084099,205
1645481340.648919106,206
1645481340.683043003,207
1645481340.715619087,208
1645481340.749517918,209
1645481340.782263994,210
1645481340.816190958,211
1645481340.849040985,212
1645481340.882873058,213
1645481340.915611982,214
1645481340.949435949,215
1645481340.982172966,216
1645481341.016110897,217
1645481341.048809052,218
1645481341.082680941,219
1645481341.117307901,220
1645481341.149456024,221
1645481341.182286978,222
1645481341.216088057,223
1645481341.248956919,224
1645481341.282748938,225
1645481341.315505981,226
1645481341.349546909,227
1645481341.382206917,228
1645481341.416105986,229
1645481341.448853016,230
1645481341.482707024,231
1645481341.515557051,232
1645481341.549556017,233
1645481341.582210064,234
1645481341.615962029,235
1645481341.648627996,236
1645481341.682565928,237
1645481341.715269089,238
1645481341.749013901,239
1645481341.781843901,240
1645481341.815704107,241
1645481341.848520994,242
1645481341.882262945,243
1645481341.915004015,244
1645481341.948859930,245
1645481341.981550932,246
1645481342.015475035,247
1645481342.048229933,248
1645481342.082109928,249
1645481342.114759922,250
1645481342.148618937,251
1645481342.181435108,252
1645481342.215380907,253
1645481342.248099089,254
1645481342.281862974,255
1645481342.314827919,256
1645481342.348680019,257
1645481342.381417990,258
1645481342.415297985,259
1645481342.448110104,260
1645481342.481873989,261
1645481342.514947891,262
1645481342.548649073,263
1645481342.581386089,264
1645481342.615175962,265
1645481342.648055077,266
1645481342.681847095,267
1645481342.714718103,268
1645481342.748513937,269
1645481342.781366110,270
1645481342.815355062,271
1645481342.848006010,272
1645481342.881776094,273
1645481342.914558887,274
1645481342.948575020,275
1645481342.981343031,276
1645481343.015203953,277
1645481343.047936916,278
1645481343.081731081,279
1645481343.114681005,280
1645481343.148528099,281
1645481343.181188107,282
1645481343.215127945,283
1645481343.248027086,284
1645481343.281778097,285
1645481343.314594030,286
1645481343.348526001,287
1645481343.381196976,288
1645481343.415137053,289
1645481343.447988033,290
1645481343.481837988,291
1645481343.514692068,292
1645481343.548651934,293
1645481343.581300974,294
1645481343.615206003,295
1645481343.648070097,296
1645481343.681821108,297
1645481343.714694023,298
1645481343.748543978,299
1645481343.781331062,300
1645481343.815102100,301
1645481343.847923994,302
1645481343.881787062,303
1645481343.914606094,304
1645481343.948585033,305
1645481343.981316090,306
1645481344.015058994,307
1645481344.047960997,308
1645481344.081763029,309
1645481344.114600897,310
1645481344.148494005,311
1645481344.181340933,312
1645481344.215233088,313
1645481344.248065948,314
1645481344.281694889,315
1645481344.314620972,316
1645481344.348438025,317
1645481344.381350994,318
1645481344.415105104,319
1645481344.447988987,320
1645481344.481848955,321
1645481344.514653921,322
1645481344.548418045,323
1645481344.581285000,324
1645481344.615241051,325
1645481344.648010015,326
1645481344.681760073,327
1645481344.714632034,328
1645481344.748737097,329
1645481344.781260967,330
1645481344.815116882,331
1645481344.847991943,332
1645481344.881772995,333
1645481344.914541960,334
1645481344.948393106,335
1645481344.981031895,336
1645481345.015130043,337
1645481345.047770977,338
1645481345.081578016,339
1645481345.114397049,340
1645481345.148228884,341
1645481345.181041002,342
1645481345.214885950,343
1645481345.247625113,344
1645481345.281476021,345
1645481345.314348936,346
1645481345.348064899,347
1645481345.380878925,348
1645481345.414875031,349
1645481345.447602987,350
1645481345.481384039,351
1645481345.514224052,352
1645481345.548146009,353
1645481345.580853939,354
1645481345.614824057,355
1645481345.647595882,356
1645481345.681449890,357
1645481345.714174986,358
1645481345.748161077,359
1645481345.780880928,360
1645481345.814742088,361
1645481345.847549915,362
1645481345.881514072,363
1645481345.914299011,364
1645481345.948198080,365
1645481345.980988026,366
1645481346.014738083,367
1645481346.047600031,368
1645481346.081470966,369
1645481346.114191055,370
1645481346.148070097,371
1645481346.180958033,372
1645481346.214778900,373
1645481346.247730017,374
1645481346.281538010,375
1645481346.314372063,376
1645481346.348290920,377
1645481346.381016970,378
1645481346.415307045,379
1645481346.447761059,380
1645481346.481580019,381
1645481346.514415026,382
1645481346.548342943,383
1645481346.581199884,384
1645481346.615185022,385
1645481346.647880077,386
1645481346.681739092,387
1645481346.714589119,388
1645481346.748462915,389
1645481346.781394958,390
1645481346.815274954,391
1645481346.848042965,392
1645481346.881982088,393
1645481346.914921045,394
1645481346.948736906,395
1645481346.981462955,396
1645481347.015419960,397
1645481347.048300028,398
1645481347.082066059,399
1645481347.114877939,400
1645481347.148952007,401
1645481347.181479931,402
1645481347.215430975,403
1645481347.248159885,404
1645481347.282069921,405
1645481347.314899921,406
1645481347.348709106,407
1645481347.381513119,408
1645481347.415405989,409
1645481347.448164940,410
1645481347.482023954,411
1645481347.514832973,412
1645481347.548645020,413
1645481347.581547022,414
1645481347.615423918,415
1645481347.648139954,416
1645481347.681971073,417
1645481347.714799881,418
1645481347.748713970,419
1645481347.781424999,420
1645481347.815257072,421
1645481347.848177910,422
1645481347.881918907,423
1645481347.914666891,424
1645481347.948542118,425
1645481347.981283903,426
1645481348.015204906,427
1645481348.047791004,428
1645481348.081728935,429
1645481348.114434958,430
1645481348.148348093,431
1645481348.181046009,432
1645481348.214926004,433
1645481348.247685909,434
1645481348.281595945,435
1645481348.314260960,436
1645481348.348181963,437
1645481348.380913019,438
1645481348.414717913,439
1645481348.447491884,440
1645481348.481451988,441
1645481348.514427900,442
1645481348.548106909,443
1645481348.580897093,444
1645481348.614859104,445
1645481348.647561073,446
