episode_number,done,out_of_lane,exceed_max_rot,crashed,overlap,n_passed,num_steps
0,False,False,False,False,[0.],1,91
1,False,False,False,False,[0.],1,91
2,False,False,False,False,[0.],1,91
3,True,True,True,False,[0.],1,51
4,True,False,True,True,[0.],0,27
5,False,False,False,False,[0.],1,91
6,False,False,False,False,[0.],1,91
7,False,False,False,False,[0.],1,91
8,False,False,False,False,[0.],1,91
9,True,True,False,False,[0.],1,65
10,False,False,False,False,[0.],1,91
11,False,False,False,False,[0.],0,91
12,True,True,False,False,[0.],0,38
13,False,False,False,False,[0.],1,91
14,True,True,True,False,[0.],0,35
15,False,False,False,False,[0.],1,91
16,False,False,False,False,[0.],1,91
17,False,False,False,False,[0.],1,91
18,False,False,False,False,[0.],1,91
19,True,True,False,False,[0.],0,40
20,True,False,False,False,[0.],0,29
21,True,True,True,False,[0.],1,61
22,False,False,False,False,[0.],1,91
23,False,False,False,False,[0.],1,91
24,True,False,True,True,[0.],0,32
25,False,False,False,False,[0.],1,91
26,True,True,True,False,[0.],0,37
27,False,False,False,False,[0.],1,91
28,False,False,False,False,[0.],1,91
29,False,False,False,False,[0.],1,91
30,False,False,False,False,[0.],1,91
31,False,False,False,False,[0.],1,91
32,True,True,False,False,[0.],1,49
33,True,True,True,False,[0.],1,57
34,True,True,False,False,[0.],0,35
35,False,False,False,False,[0.],1,91
36,False,False,False,False,[0.],1,91
37,False,False,False,False,[0.],1,91
38,True,True,False,False,[0.],0,32
39,False,False,False,False,[0.],1,91
40,False,False,False,False,[0.],1,91
41,False,False,False,False,[0.],1,91
42,False,False,False,False,[0.],1,91
43,True,True,True,False,[0.],0,32
44,False,False,False,False,[0.],1,91
45,True,True,True,False,[0.],0,36
46,True,True,True,False,[0.],0,34
47,True,True,True,False,[0.],0,34
48,False,False,False,False,[0.],1,91
49,False,False,False,False,[0.],1,91
50,False,False,False,False,[0.],1,91
51,True,True,True,False,[0.],0,36
52,False,False,False,False,[0.],1,91
53,False,False,False,False,[0.],1,91
54,False,False,False,False,[0.],1,91
55,True,False,True,True,[0.],0,26
56,False,False,False,False,[0.],1,91
57,False,False,False,False,[0.],1,91
58,True,True,True,False,[0.],1,63
59,False,False,False,False,[0.],1,91
60,False,False,False,False,[0.],1,91
61,True,True,False,False,[0.],1,68
62,False,False,False,False,[0.],1,91
63,False,False,False,False,[0.],1,91
64,True,True,False,False,[0.],0,37
65,False,False,False,False,[0.],1,91
66,True,True,True,False,[0.],0,26
67,True,True,True,False,[0.],0,35
68,False,False,False,False,[0.],1,91
69,False,False,False,False,[0.],0,91
70,False,False,False,False,[0.],1,91
71,False,False,False,False,[0.],1,91
72,True,False,True,True,[0.],0,28
73,True,True,False,False,[0.],0,39
74,False,False,False,False,[0.],1,91
75,True,False,False,True,[0.],0,27
76,True,True,True,False,[0.],0,36
77,True,True,False,False,[0.],0,38
78,True,True,False,False,[0.],1,63
79,False,False,False,False,[0.],1,91
80,True,True,True,False,[0.],0,37
81,False,False,False,False,[0.],1,91
82,False,False,False,False,[0.],1,91
83,False,False,False,False,[0.],1,91
84,True,True,False,False,[0.],0,38
85,False,False,False,False,[0.],1,91
86,False,False,False,False,[0.],1,91
87,True,True,True,False,[0.],1,62
88,True,True,True,False,[0.],1,57
89,False,False,False,False,[0.],1,91
90,True,True,True,False,[0.],1,58
91,False,False,False,False,[0.],1,91
92,False,False,False,False,[0.],1,91
93,True,True,False,False,[0.],0,34
94,False,False,False,False,[0.],1,91
95,False,False,False,False,[0.],1,91
96,False,False,False,False,[0.],1,91
97,False,False,False,False,[0.],1,91
98,True,True,True,False,[0.],1,66
99,True,True,False,False,[0.],0,26
100,True,True,False,False,[0.],0,40
101,False,False,False,False,[0.],1,91
102,True,True,False,False,[0.],0,42
103,True,False,False,True,[0.01141434],0,24
104,True,True,True,False,[0.],0,38
105,False,False,False,False,[0.],1,91
106,False,False,False,False,[0.],1,91
107,True,True,True,False,[0.],0,36
108,True,True,True,False,[0.],0,35
109,False,False,False,False,[0.],1,91
110,False,False,False,False,[0.],1,91
111,True,True,True,False,[0.],0,34
112,False,False,False,False,[0.],1,91
113,True,True,True,False,[0.],0,37
114,True,True,True,False,[0.],0,43
115,False,False,False,False,[0.],1,91
116,False,False,False,False,[0.],1,91
117,False,False,False,False,[0.],1,91
118,True,True,False,False,[0.],0,36
119,True,True,False,False,[0.],0,38
120,False,False,False,False,[0.],1,91
121,True,True,False,False,[0.],0,40
122,True,True,True,False,[0.],0,36
123,False,False,False,False,[0.],1,91
124,False,False,False,False,[0.],1,91
125,True,True,False,False,[0.],0,38
126,True,True,True,False,[0.],0,36
127,False,False,False,False,[0.],1,91
128,False,False,False,False,[0.],0,91
129,False,False,False,False,[0.],1,91
130,False,False,False,False,[0.],1,91
131,False,False,False,False,[0.],1,91
132,False,False,False,False,[0.],1,91
133,True,True,False,False,[0.],0,37
134,True,True,True,False,[0.],0,33
135,False,False,False,False,[0.],1,91
136,False,False,False,False,[0.],1,91
137,False,False,False,False,[0.],1,91
138,True,True,False,False,[0.],0,41
139,False,False,False,False,[0.],1,91
140,False,False,False,False,[0.],1,91
141,True,False,False,True,[0.01745612],0,50
142,True,False,False,True,[0.02378788],0,49
143,False,False,False,False,[0.],1,91
