episode_number,done,out_of_lane,exceed_max_rot,crashed,overlap,n_passed,num_steps
0,False,False,False,False,[0.],1,91
1,False,False,False,False,[0.],1,91
2,False,False,False,False,[0.],1,91
3,True,True,True,False,[0.],1,53
4,True,True,False,False,[0.],0,36
5,False,False,False,False,[0.],1,91
6,False,False,False,False,[0.],1,91
7,False,False,False,False,[0.],1,91
8,False,False,False,False,[0.],1,91
9,True,True,False,False,[0.],1,66
10,False,False,False,False,[0.],1,91
11,False,False,False,False,[0.],0,91
12,True,True,False,False,[0.],0,36
13,False,False,False,False,[0.],1,91
14,True,True,True,False,[0.],0,35
15,False,False,False,False,[0.],1,91
16,False,False,False,False,[0.],1,91
17,False,False,False,False,[0.],1,91
18,False,False,False,False,[0.],1,91
19,False,False,False,False,[0.],1,91
20,True,False,False,False,[0.],0,30
21,True,True,True,False,[0.],1,60
22,False,False,False,False,[0.],1,91
23,False,False,False,False,[0.],1,91
24,True,False,True,True,[0.],0,32
25,False,False,False,False,[0.],1,91
26,True,True,True,False,[0.],0,35
27,False,False,False,False,[0.],1,91
28,False,False,False,False,[0.],1,91
29,False,False,False,False,[0.],1,91
30,False,False,False,False,[0.],1,91
31,False,False,False,False,[0.],1,91
32,True,True,False,False,[0.],1,91
33,True,True,True,False,[0.],1,58
34,True,True,False,False,[0.],0,36
35,False,False,False,False,[0.],1,91
36,False,False,False,False,[0.],1,91
37,False,False,False,False,[0.],1,91
38,True,True,False,False,[0.],0,32
39,False,False,False,False,[0.],1,91
40,False,False,False,False,[0.],1,91
41,False,False,False,False,[0.],1,91
42,False,False,False,False,[0.],1,91
43,True,True,True,False,[0.],0,32
44,False,False,False,False,[0.],1,91
45,True,True,True,False,[0.],0,35
46,True,True,True,False,[0.],0,34
47,True,True,True,False,[0.],0,35
48,False,False,False,False,[0.],1,91
49,False,False,False,False,[0.],1,91
