episode_number,done,out_of_lane,exceed_max_rot,crashed,overlap,n_passed,num_steps
0,True,False,False,True,[0.00511316],0,35
1,False,False,False,False,[0.],0,91
2,False,False,False,False,[0.],0,91
3,True,True,True,False,[0.],0,19
4,False,False,False,False,[0.],0,91
5,True,False,False,True,[0.],0,21
6,True,False,False,True,[8.12889944e-06],0,19
7,True,True,True,False,[0.],0,25
8,False,False,False,False,[0.],0,91
9,True,True,True,False,[0.],0,24
10,True,True,True,False,[0.],0,26
11,True,True,True,False,[0.],1,36
12,True,True,True,False,[0.],0,28
13,True,False,False,True,[0.01703086],0,28
14,False,False,False,False,[0.],0,91
15,True,False,False,True,[0.0002112],0,19
16,False,False,False,False,[0.],0,91
17,True,True,True,False,[0.],0,30
18,False,False,False,False,[0.],0,91
19,False,False,False,False,[0.],0,91
20,True,True,True,False,[0.],0,18
21,True,False,True,True,[6.53468035e-05],0,17
22,False,False,False,False,[0.],0,91
23,False,False,True,False,[0.],0,91
24,False,False,True,False,[0.],0,91
25,False,False,False,False,[0.],0,91
26,False,False,True,False,[0.],0,91
27,True,True,True,False,[0.],0,21
28,False,False,False,False,[0.],0,91
29,True,False,True,True,[0.],0,24
30,False,False,False,False,[0.],0,91
31,True,False,True,True,[0.],0,21
32,False,False,True,False,[0.],0,91
33,True,True,True,False,[0.],0,26
34,False,False,False,False,[0.],0,91
35,False,False,False,False,[0.],0,91
36,True,False,False,True,[0.00051944],0,23
37,True,False,True,True,[0.],0,23
38,True,True,True,False,[0.],0,22
39,False,False,False,False,[0.],0,91
40,False,False,False,False,[0.],0,91
41,False,False,False,False,[0.],0,91
42,True,True,True,False,[0.],0,21
43,True,False,False,True,[0.],0,27
44,True,True,True,False,[0.],1,40
45,False,False,True,False,[0.],0,91
46,False,False,False,False,[0.],0,91
47,False,False,False,False,[0.],0,91
48,False,False,True,False,[0.],0,91
49,True,False,True,True,[0.],0,20
