episode_number,done,out_of_lane,exceed_max_rot,crashed,overlap,n_passed,num_steps
0,False,False,False,False,[0.],1,91
1,False,False,False,False,[0.],1,91
2,False,False,False,False,[0.],1,91
3,True,True,True,False,[0.],1,67
4,True,False,True,True,[0.],0,27
5,False,False,False,False,[0.],1,91
6,False,False,False,False,[0.],1,91
7,False,False,False,False,[0.],1,91
8,False,False,False,False,[0.],1,91
9,True,True,True,False,[0.],1,90
10,False,False,False,False,[0.],1,91
11,False,False,False,False,[0.],0,91
12,False,False,False,False,[0.],1,91
13,False,False,False,False,[0.],1,91
14,True,True,True,False,[0.],1,50
15,False,False,False,False,[0.],1,91
16,False,False,False,False,[0.],1,91
17,False,False,False,False,[0.],1,91
18,False,False,False,False,[0.],1,91
19,False,False,False,False,[0.],1,91
20,True,False,False,False,[0.],0,30
21,True,True,True,False,[0.],1,70
22,False,False,False,False,[0.],1,91
23,False,False,False,False,[0.],1,91
24,False,False,False,False,[0.],1,91
25,False,False,False,False,[0.],1,91
26,True,True,True,False,[0.],1,52
27,False,False,False,False,[0.],1,91
28,False,False,False,False,[0.],1,91
29,False,False,False,False,[0.],1,91
30,False,False,False,False,[0.],1,91
31,False,False,False,False,[0.],1,91
32,False,True,False,False,[0.],1,91
33,True,True,True,False,[0.],1,74
34,False,False,False,False,[0.],1,91
35,False,False,False,False,[0.],1,91
36,False,False,False,False,[0.],1,91
37,False,False,False,False,[0.],1,91
38,False,True,False,False,[0.],1,91
39,False,False,False,False,[0.],1,91
40,False,False,False,False,[0.],1,91
41,False,False,False,False,[0.],1,91
42,False,False,False,False,[0.],1,91
43,False,False,False,False,[0.],1,91
44,False,False,False,False,[0.],1,91
45,False,False,False,False,[0.],1,91
46,True,True,True,False,[0.],1,48
47,False,False,False,False,[0.],1,91
48,False,False,False,False,[0.],1,91
49,False,False,False,False,[0.],1,91
50,False,False,False,False,[0.],1,91
51,True,True,False,False,[0.],1,59
52,False,False,False,False,[0.],1,91
53,False,False,False,False,[0.],1,91
54,False,False,False,False,[0.],1,91
55,True,False,True,True,[0.],0,26
56,False,False,False,False,[0.],1,91
57,False,False,False,False,[0.],1,91
58,True,True,True,False,[0.],1,73
59,False,False,False,False,[0.],1,91
60,False,False,False,False,[0.],1,91
61,False,True,False,False,[0.],1,91
62,False,False,False,False,[0.],1,91
63,False,False,False,False,[0.],1,91
64,False,False,False,False,[0.],1,91
65,False,False,False,False,[0.],1,91
66,False,True,True,False,[0.],0,91
67,True,True,True,False,[0.],1,51
68,False,False,False,False,[0.],1,91
69,False,False,False,False,[0.],0,91
70,False,False,False,False,[0.],1,91
71,False,False,False,False,[0.],1,91
72,False,False,False,False,[0.],1,91
73,False,True,False,False,[0.],1,91
74,False,False,False,False,[0.],1,91
75,True,False,False,True,[0.],0,28
76,False,False,False,False,[0.],1,91
77,False,False,True,False,[0.],1,91
78,True,True,True,False,[0.],1,81
79,False,False,False,False,[0.],1,91
80,False,False,False,False,[0.],1,91
81,False,False,False,False,[0.],1,91
82,False,False,False,False,[0.],1,91
83,False,False,False,False,[0.],1,91
84,False,False,False,False,[0.],1,91
85,False,False,False,False,[0.],1,91
86,False,False,False,False,[0.],1,91
87,True,True,True,False,[0.],1,76
88,False,False,False,False,[0.],1,91
89,False,False,False,False,[0.],1,91
90,True,True,True,False,[0.],1,72
91,False,False,False,False,[0.],1,91
92,False,False,False,False,[0.],1,91
93,False,False,False,False,[0.],1,91
94,True,True,True,False,[0.],1,89
95,False,False,False,False,[0.],1,91
96,False,False,False,False,[0.],1,91
97,False,False,False,False,[0.],1,91
98,True,True,True,False,[0.],1,77
99,True,True,True,False,[0.],1,85
100,False,False,False,False,[0.],1,91
101,False,False,False,False,[0.],1,91
102,False,False,False,False,[0.],1,91
103,True,False,False,True,[0.02052293],0,24
104,True,True,True,False,[0.],1,56
105,False,False,False,False,[0.],1,91
106,False,False,False,False,[0.],1,91
107,False,False,True,False,[0.],1,91
108,False,False,False,False,[0.],1,91
109,False,False,False,False,[0.],1,91
110,False,False,False,False,[0.],1,91
111,True,True,True,False,[0.],1,48
112,False,False,False,False,[0.],1,91
113,True,False,True,True,[0.],0,32
114,False,False,False,False,[0.],1,91
115,False,False,False,False,[0.],1,91
116,False,False,False,False,[0.],1,91
117,False,False,False,False,[0.],1,91
118,False,True,True,False,[0.],1,91
119,False,False,False,False,[0.],1,91
120,False,False,False,False,[0.],1,91
121,False,False,False,False,[0.],1,91
122,False,False,False,False,[0.],1,91
123,False,False,False,False,[0.],1,91
124,False,False,False,False,[0.],1,91
125,True,True,True,False,[0.],1,58
126,False,False,True,False,[0.],1,91
127,True,True,True,False,[0.],1,91
128,False,False,False,False,[0.],0,91
129,False,False,False,False,[0.],1,91
130,False,False,False,False,[0.],1,91
131,False,False,False,False,[0.],1,91
132,False,False,False,False,[0.],1,91
133,False,False,False,False,[0.],1,91
134,False,False,False,False,[0.],1,91
135,False,False,False,False,[0.],1,91
136,False,False,False,False,[0.],1,91
137,False,False,False,False,[0.],1,91
138,True,True,True,False,[0.],1,86
139,False,False,False,False,[0.],1,91
140,False,False,False,False,[0.],1,91
141,True,False,False,True,[0.01242626],0,48
142,True,False,False,True,[0.05523747],0,49
143,False,False,False,False,[0.],1,91
